ClassName,MethodName,HalsteadVolume,CC,LOC,MicrosoftMI,Grade
ComplexityExamples,complexity1,2.00,1,3,87,G
ComplexityExamples,complexity2,49.83,3,9,66,G
ComplexityExamples,complexity3,126.71,6,15,58,G
ComplexityExamples,complexity4,110.41,5,13,60,G
ComplexityExamples,complexity5,144.00,6,16,57,G
ComplexityExamples,complexity6,194.49,7,19,55,G
ComplexityExamples,complexity7,299.56,11,34,47,G
ComplexityExamples,example1,49.83,3,9,66,G
ComplexityExamples,example2,76.15,3,9,65,G
ComplexityExamples,example3,75.28,4,12,62,G
ComplexityExamples,example4,57.36,5,9,66,G
ComplexityExamples,example5,179.85,4,11,60,G
ComplexityExamples,example6,77.66,1,9,65,G
ComplexityExamples,calculateScore,255.16,6,8,62,G
ComplexityExamples,isHighScore,11.61,1,2,85,G
